VBE	Ib(Q1)	Ic(Q1)
9.900000000000000e-02	-3.360974e-12	7.225284e-12
1.000000000000000e-01	-3.347609e-12	7.353884e-12
1.010000000000000e-01	-3.333998e-12	7.487949e-12
1.020000000000000e-01	-3.320139e-12	7.627479e-12
1.030000000000000e-01	-3.306028e-12	7.771743e-12
1.040000000000000e-01	-3.291654e-12	7.922931e-12
1.050000000000000e-01	-3.277017e-12	8.079218e-12
1.060000000000000e-01	-3.262109e-12	8.241698e-12
1.070000000000000e-01	-3.246923e-12	8.411101e-12
1.080000000000000e-01	-3.231453e-12	8.587061e-12
1.090000000000000e-01	-3.215693e-12	8.769942e-12
1.100000000000000e-01	-3.199641e-12	8.960110e-12
1.110000000000000e-01	-3.183279e-12	9.157564e-12
1.120000000000000e-01	-3.166613e-12	9.363033e-12
1.130000000000000e-01	-3.149631e-12	9.576880e-12
1.140000000000000e-01	-3.132323e-12	9.798378e-12
1.150000000000000e-01	-3.114686e-12	1.002971e-11
1.160000000000000e-01	-3.096711e-12	1.026943e-11
1.170000000000000e-01	-3.078389e-12	1.051861e-11
1.180000000000000e-01	-3.059716e-12	1.077800e-11
1.190000000000000e-01	-3.040680e-12	1.104722e-11
1.200000000000000e-01	-3.021274e-12	1.132810e-11
1.210000000000000e-01	-3.001492e-12	1.161882e-11
1.220000000000000e-01	-2.981320e-12	1.192192e-11
1.230000000000000e-01	-2.960757e-12	1.223668e-11
1.240000000000000e-01	-2.939790e-12	1.256383e-11
1.250000000000000e-01	-2.918409e-12	1.290409e-11
1.260000000000000e-01	-2.896608e-12	1.325747e-11
1.270000000000000e-01	-2.874369e-12	1.362505e-11
1.280000000000000e-01	-2.851692e-12	1.400684e-11
1.290000000000000e-01	-2.828563e-12	1.440467e-11
1.300000000000000e-01	-2.804968e-12	1.481779e-11
1.310000000000000e-01	-2.780905e-12	1.524621e-11
1.320000000000000e-01	-2.756356e-12	1.569285e-11
1.330000000000000e-01	-2.731312e-12	1.615661e-11
1.340000000000000e-01	-2.705761e-12	1.663823e-11
1.350000000000000e-01	-2.679693e-12	1.713951e-11
1.360000000000000e-01	-2.653096e-12	1.766083e-11
1.370000000000000e-01	-2.625957e-12	1.820183e-11
1.380000000000000e-01	-2.598257e-12	1.876468e-11
1.390000000000000e-01	-2.569998e-12	1.934939e-11
1.400000000000000e-01	-2.541157e-12	1.995778e-11
1.410000000000000e-01	-2.511718e-12	2.058986e-11
1.420000000000000e-01	-2.481672e-12	2.124706e-11
1.430000000000000e-01	-2.451007e-12	2.193014e-11
1.440000000000000e-01	-2.419699e-12	2.264054e-11
1.450000000000000e-01	-2.387744e-12	2.337825e-11
1.460000000000000e-01	-2.355120e-12	2.414548e-11
1.470000000000000e-01	-2.321814e-12	2.494259e-11
