vce	Ic(Q1)
8.900000000000000e-02	3.937840e-04
9.000000000000000e-02	4.038872e-04
9.100000000000000e-02	4.140890e-04
9.200000000000000e-02	4.243843e-04
9.300000000000000e-02	4.347673e-04
9.400000000000000e-02	4.452326e-04
9.500000000000000e-02	4.557740e-04
9.600000000000000e-02	4.663858e-04
9.700000000000000e-02	4.770616e-04
9.800000000000000e-02	4.877953e-04
9.900000000000000e-02	4.985803e-04
1.000000000000000e-01	5.094103e-04
1.010000000000000e-01	5.202786e-04
1.020000000000000e-01	5.311785e-04
1.030000000000000e-01	5.421036e-04
1.040000000000000e-01	5.530469e-04
1.050000000000000e-01	5.640018e-04
1.060000000000000e-01	5.749615e-04
1.070000000000000e-01	5.859194e-04
1.080000000000000e-01	5.968686e-04
1.090000000000000e-01	6.078027e-04
1.100000000000000e-01	6.187151e-04
1.110000000000000e-01	6.295992e-04
1.120000000000000e-01	6.404488e-04
1.130000000000000e-01	6.512574e-04
1.140000000000000e-01	6.620190e-04
1.150000000000000e-01	6.727275e-04
1.160000000000000e-01	6.833771e-04
1.170000000000000e-01	6.939622e-04
1.180000000000000e-01	7.044769e-04
1.190000000000000e-01	7.149162e-04
1.200000000000000e-01	7.252747e-04
1.210000000000000e-01	7.355475e-04
1.220000000000000e-01	7.457298e-04
1.230000000000000e-01	7.558170e-04
1.240000000000000e-01	7.658048e-04
1.250000000000000e-01	7.756890e-04
1.260000000000000e-01	7.854658e-04
1.270000000000000e-01	7.951313e-04
1.280000000000000e-01	8.046823e-04
1.290000000000000e-01	8.141153e-04
1.300000000000000e-01	8.234273e-04
1.310000000000000e-01	8.326158e-04
1.320000000000000e-01	8.416779e-04
1.330000000000000e-01	8.506114e-04
1.340000000000000e-01	8.594142e-04
1.350000000000000e-01	8.680843e-04
1.360000000000000e-01	8.766202e-04
1.370000000000000e-01	8.850202e-04
1.380000000000000e-01	8.932832e-04
1.390000000000000e-01	9.014080e-04
1.400000000000000e-01	9.093939e-04
1.410000000000000e-01	9.172400e-04
1.420000000000000e-01	9.249459e-04
1.430000000000000e-01	9.325113e-04
1.440000000000000e-01	9.399361e-04
1.450000000000000e-01	9.472201e-04
1.460000000000000e-01	9.543637e-04
1.470000000000000e-01	9.613670e-04
1.480000000000000e-01	9.682307e-04
1.490000000000000e-01	9.749552e-04
1.500000000000000e-01	9.815414e-04
1.510000000000000e-01	9.879898e-04
1.520000000000000e-01	9.943018e-04
1.530000000000000e-01	1.000478e-03
1.540000000000000e-01	1.006520e-03
1.550000000000000e-01	1.012429e-03
1.560000000000000e-01	1.018206e-03
1.570000000000000e-01	1.023853e-03
1.580000000000000e-01	1.029371e-03
1.590000000000000e-01	1.034762e-03
1.600000000000000e-01	1.040028e-03
